Year,Statweek,Inside Test,Outside Test,Average
2025,61,25%,22%,0.23
2025,62,21%,14%,0.17
2025,63,12%,27%,0.19
2025,64,12%,31%,0.22
2025,71,18%,10%,0.14
2024,61,37%,52%,0.44
2024,62,35%,24%,0.30
2024,63,24%,28%,0.26
2024,64,21%,20%,0.20
2024,71,23%,33%,0.28
2024,72,27%,26%,0.27
2024,73,45%,22%,0.33
2024,74,20%,31%,0.26
2024,75,21%,17%,0.19
2024,81,47%,15%,0.31
2023,61,76%,77%,0.76
2023,62,76%,65%,0.70
2023,63,55%,48%,0.51
2023,64,57%,56%,0.56
2023,71,49%,51%,0.50
2023,72,62%,54%,0.58
2023,73,42%,41%,0.42
2023,74,53%,43%,0.48
2022,61,67%,64%,0.65
2022,62,57%,57%,0.57
2022,63,72%,58%,0.65
2022,64,69%,55%,0.62
2022,71,83%,67%,0.75
2022,72,67%,58%,0.62
2022,73,89%,67%,0.78
2022,74,90%,72%,0.81
2021,61,42%,47%,0.45
2021,62,36%,38%,0.37
2021,63,30%,37%,0.34
2021,64,35%,40%,0.37
2021,71,45%,28%,0.36
2021,72,35%,39%,0.37
2021,73,34%,27%,0.31
2021,74,37%,34%,0.35
2021,75,41%,28%,0.34
2020,62,61%,57%,0.59
2020,63,66%,54%,0.60
2020,64,64%,52%,0.58
2020,71,45%,59%,0.52
2020,72,53%,62%,0.58
2020,73,47%,63%,0.55
2020,74,53%,65%,0.59
2019,62,80%,,0.80
2019,63,76%,,0.76
2019,64,62%,,0.62
2019,71,69%,,0.69
2019,72,75%,,0.75
2019,73,77%,,0.77
